"season","round","hTeam","aTeam","hScore","aScore","hOdd","dOdd","aOdd","hProb","dProb","aProb"
"2017-2018","28","1899 Hoffenheim","1. FC Köln",6,0,1.57,4.43,5.35,0.6068477612398893,0.21506794247102173,0.178084296289089
"2017-2018","28","FC Schalke 04","SC Freiburg",2,0,1.55,3.78,6.91,0.611858240823813,0.25089425218965883,0.13724750698652824
"2017-2018","28","Bayern München","Borussia Dortmund",6,0,1.35,5.35,7.92,0.7028439202806598,0.17735313876240952,0.11980294095693066
"2017-2018","28","Hertha BSC","VfL Wolfsburg",0,0,2.24,3.16,3.4,0.42235360714510345,0.29938989873576954,0.278256494119127
"2017-2018","28","Werder Bremen","Eintracht Frankfurt",2,1,2.34,3.35,3.01,0.4038909071974173,0.2821208127886437,0.313988280013939
"2017-2018","28","1. FSV Mainz 05","Bor. Mönchengladbach",0,0,2.97,3.42,2.35,0.31925923277680457,0.2772514389903829,0.40348932823281264
"2017-2018","29","Hannover 96","Werder Bremen",2,1,3.03,3.58,2.26,0.3137671604746762,0.26556270844644375,0.42067013107888
"2017-2018","29","FC Augsburg","Bayern München",1,4,7.1,4.55,1.44,0.13349361259958029,0.208308714166378,0.6581976732340415
"2017-2018","29","Bor. Mönchengladbach","Hertha BSC",2,1,1.76,3.69,4.69,0.5398893772870919,0.25750821247297606,0.20260241023993208
"2017-2018","29","1. FC Köln","1. FSV Mainz 05",1,1,2.08,3.53,3.46,0.4565394535192315,0.26900908309348487,0.2744514633872837
"2017-2018","29","SC Freiburg","VfL Wolfsburg",0,2,2.31,3.07,3.38,0.41053010551469565,0.30890050284656256,0.2805693916387417
"2017-2018","29","Hamburger SV","FC Schalke 04",3,2,4.35,3.39,1.89,0.21811330003982965,0.2798798982811973,0.502006801678973
"2017-2018","29","Borussia Dortmund","VfB Stuttgart",3,0,1.51,4.42,6.01,0.6277949117893817,0.21447292235338603,0.15773216585723235
"2017-2018","29","Eintracht Frankfurt","1899 Hoffenheim",1,1,2.33,3.49,2.95,0.40692550008497785,0.27167232527163276,0.32140217464338927
"2017-2018","29","RB Leipzig","Bayer Leverkusen",1,4,2.19,3.64,3.1,0.43325679795427846,0.2606682383296345,0.306074963716087
"2017-2018","30","VfL Wolfsburg","FC Augsburg",0,0,2.21,3.23,3.47,0.4308305561001111,0.29477880154218133,0.27439064235770766
"2017-2018","30","Hertha BSC","1. FC Köln",2,1,1.8,3.79,4.26,0.5270177637634893,0.25029867408292367,0.22268356215358703
"2017-2018","30","Bayer Leverkusen","Eintracht Frankfurt",4,1,1.69,3.84,4.95,0.561318957803627,0.2470388121583671,0.19164223003800598
"2017-2018","30","1899 Hoffenheim","Hamburger SV",2,0,1.49,4.59,6.12,0.6377214310524487,0.20701632511288642,0.1552622438346648
"2017-2018","30","VfB Stuttgart","Hannover 96",1,1,1.79,3.69,4.46,0.5300989824743364,0.2571482868913448,0.21275273063431888
"2017-2018","30","Bayern München","Bor. Mönchengladbach",5,1,1.35,5.32,7.94,0.7023534380414288,0.17822878596915956,0.1194177759894117
"2017-2018","30","FC Schalke 04","Borussia Dortmund",2,0,2.97,3.36,2.38,0.31930236458158645,0.2822404829783666,0.398457152440047
"2017-2018","30","Werder Bremen","RB Leipzig",1,1,2.6,3.54,2.59,0.3651868433001681,0.2682163255876941,0.36659683111213787
"2017-2018","30","1. FSV Mainz 05","SC Freiburg",2,0,2.15,3.18,3.66,0.4417873735993441,0.29869272114421064,0.2595199052564453
"2017-2018","31","Bor. Mönchengladbach","VfL Wolfsburg",3,0,1.74,3.79,4.72,0.5471216838654033,0.25118515301472344,0.20169316311987326
"2017-2018","31","Hannover 96","Bayern München",0,3,6.56,4.77,1.45,0.14494014002602698,0.19933067475277508,0.6557291852211979
"2017-2018","31","RB Leipzig","1899 Hoffenheim",2,5,2.25,3.78,2.92,0.4226924932791066,0.2516026745708968,0.3257048321499965
"2017-2018","31","Eintracht Frankfurt","Hertha BSC",0,3,1.93,3.4,4.13,0.4914102936493216,0.27894760786564426,0.22964209848503403
"2017-2018","31","Hamburger SV","SC Freiburg",1,0,2.06,3.32,3.76,0.4611792522535836,0.28615339145854884,0.2526673562878676
"2017-2018","31","VfB Stuttgart","Werder Bremen",2,0,2.43,3.3,2.95,0.3906108937706891,0.2876316581402347,0.3217574480890761
"2017-2018","31","Borussia Dortmund","Bayer Leverkusen",4,0,2.15,3.6,3.21,0.4411107930146006,0.2634411680503865,0.2954480389350128
"2017-2018","31","FC Augsburg","1. FSV Mainz 05",2,0,2.34,3.23,3.16,0.4056853502070797,0.2939020803357791,0.30041256945714123
"2017-2018","31","1. FC Köln","FC Schalke 04",2,2,3.49,3.47,2.08,0.27146999860834764,0.27303466718822283,0.4554953342034294
"2017-2018","32","1899 Hoffenheim","Hannover 96",3,1,1.27,6.17,9.53,0.7467712991385473,0.15371143434456325,0.09951726651688933
"2017-2018","32","SC Freiburg","1. FC Köln",3,2,2.09,3.51,3.45,0.45428966945404214,0.2705029655723499,0.2752073649736081
"2017-2018","32","FC Schalke 04","Bor. Mönchengladbach",1,1,1.89,3.63,4.03,0.5026025293493163,0.26168561445460264,0.23571185619608126
"2017-2018","32","Bayern München","Eintracht Frankfurt",4,1,1.97,3.57,3.76,0.48175198199782515,0.2658407295618251,0.2524072884403499
"2017-2018","32","Hertha BSC","FC Augsburg",2,2,2.06,3.42,3.63,0.46086511047754813,0.2775971133285816,0.2615377761938703
"2017-2018","32","VfL Wolfsburg","Hamburger SV",1,3,2.28,3.31,3.21,0.4168226058915605,0.28711647777424704,0.29606091633419246
"2017-2018","32","Bayer Leverkusen","VfB Stuttgart",0,1,1.44,4.71,6.83,0.6593839739766209,0.20159510032406244,0.13902092569931684
"2017-2018","32","1. FSV Mainz 05","RB Leipzig",3,0,3.45,3.6,2.05,0.2746301981579682,0.2631872732347195,0.46218252860731235
"2017-2018","32","Werder Bremen","Borussia Dortmund",1,1,3.86,3.9,1.86,0.24600170919301675,0.24347861473975504,0.5105196760672283
"2017-2018","33","1. FC Köln","Bayern München",1,3,9.12,5.94,1.29,0.10411113013279856,0.15984739171904425,0.7360414781481571
"2017-2018","33","Hannover 96","Hertha BSC",3,1,2.62,3.29,2.71,0.3619068107923803,0.2882054237921083,0.3498877654155116
"2017-2018","33","Bor. Mönchengladbach","SC Freiburg",3,1,1.97,3.46,3.9,0.48204563965534486,0.2744595115956733,0.24349484874898195
"2017-2018","33","FC Augsburg","FC Schalke 04",1,2,3.08,3.23,2.38,0.3079122974261201,0.29361296472831266,0.3984747378455672
"2017-2018","33","Werder Bremen","Bayer Leverkusen",0,0,3.8,3.99,1.85,0.24959845807902345,0.23771281721811757,0.512688724702859
"2017-2018","33","Eintracht Frankfurt","Hamburger SV",3,0,1.94,3.73,3.68,0.48845269698026456,0.2540477834160089,0.25749951960372636
"2017-2018","33","Borussia Dortmund","1. FSV Mainz 05",1,2,1.32,5.38,8.98,0.7182120367011756,0.1762155926478721,0.10557237065095232
"2017-2018","33","RB Leipzig","VfL Wolfsburg",4,1,1.71,3.93,4.64,0.5544316036229967,0.2412412321107696,0.20432716426623374
"2017-2018","33","VfB Stuttgart","1899 Hoffenheim",2,0,2.93,3.61,2.29,0.3235083490191321,0.2625704882620657,0.41392116271880225
"2017-2018","34","FC Schalke 04","Eintracht Frankfurt",1,0,2.23,3.37,3.21,0.4243716434363366,0.2808156572293859,0.29481269933427745
"2017-2018","34","Bayer Leverkusen","Hannover 96",3,2,1.2,7.34,12.09,0.7919265799604842,0.12947028555212278,0.07860313448739298
"2017-2018","34","SC Freiburg","FC Augsburg",2,0,2.05,3.16,3.98,0.46214788085456654,0.29981112523793074,0.23804099390750283
"2017-2018","34","1899 Hoffenheim","Borussia Dortmund",3,1,2.25,3.99,2.77,0.420842805085617,0.23731737128888178,0.3418398236255012
"2017-2018","34","Hamburger SV","Bor. Mönchengladbach",2,1,2.22,3.88,2.89,0.4272899788892868,0.24448034874593222,0.3282296723647809
"2017-2018","34","1. FSV Mainz 05","Werder Bremen",1,2,2.54,3.62,2.6,0.3733320640360481,0.26195122725181275,0.36471670871213924
"2017-2018","34","VfL Wolfsburg","1. FC Köln",4,1,1.63,4.01,5.21,0.5816172847411103,0.23641799853566328,0.18196471672322642
"2017-2018","34","Hertha BSC","RB Leipzig",2,6,4.14,3.96,1.79,0.22944706636368936,0.2398764784711298,0.5306764551651809
"2017-2018","34","Bayern München","VfB Stuttgart",1,4,1.16,8.28,14.48,0.819533001585826,0.11481380215453602,0.065653196259638
"2018-2019","1","Bayern München","1899 Hoffenheim",3,1,1.2,7.24,12.6,0.7930315042770707,0.13144168579177967,0.07552680993114959
"2018-2019","1","VfL Wolfsburg","FC Schalke 04",2,1,3.06,3.16,2.45,0.3108163445556957,0.3009803842849458,0.3882032711593586
"2018-2019","1","Fortuna Düsseldorf","FC Augsburg",1,2,2.59,3.25,2.78,0.3664912970993035,0.29206537214990647,0.34144333075079
"2018-2019","1","Hertha BSC","1. FC Nürnberg",1,0,1.78,3.54,4.77,0.53305174634442,0.26803166906583825,0.19891658458974162
"2018-2019","1","SC Freiburg","Eintracht Frankfurt",0,2,2.47,3.18,3,0.38460608113011296,0.2987349120727607,0.31665900679712633
"2018-2019","1","Werder Bremen","Hannover 96",1,1,1.75,3.94,4.39,0.5426537533608792,0.24102641329480673,0.21631983334431404
"2018-2019","1","Bor. Mönchengladbach","Bayer Leverkusen",2,0,2.63,3.55,2.56,0.361247033664185,0.26762808409487504,0.37112488224094003
"2018-2019","1","1. FSV Mainz 05","VfB Stuttgart",1,0,2.8,3.16,2.64,0.3393647487633429,0.3007029419422025,0.3599323092944545
"2018-2019","1","Borussia Dortmund","RB Leipzig",4,1,1.71,3.95,4.66,0.5555974778222824,0.2405244777407855,0.20387804443693197
"2018-2019","2","Hannover 96","Borussia Dortmund",0,0,4.94,4.08,1.66,0.19280126621195384,0.23344074879584606,0.5737579849922
"2018-2019","2","1899 Hoffenheim","SC Freiburg",3,1,1.51,4.36,6.18,0.6286671550762712,0.21772646884522234,0.1536063760785064
"2018-2019","2","Bayer Leverkusen","VfL Wolfsburg",1,3,1.66,3.88,5.2,0.5723882798847053,0.2448877692290234,0.18272395088627127
"2018-2019","2","FC Augsburg","Bor. Mönchengladbach",1,1,2.62,3.4,2.66,0.3629038730077203,0.27964945508241984,0.3574466719098599
"2018-2019","2","1. FC Nürnberg","1. FSV Mainz 05",1,1,2.59,3.24,2.79,0.36660948279008654,0.2930612840821988,0.34032923312771474
"2018-2019","2","Eintracht Frankfurt","Werder Bremen",1,2,2.38,3.41,2.94,0.39880819781688576,0.27834707061706393,0.32284473156605037
"2018-2019","2","VfB Stuttgart","Bayern München",0,3,10.17,5.76,1.28,0.09336250911743253,0.1648431801604668,0.7417943107221007
"2018-2019","2","RB Leipzig","Fortuna Düsseldorf",1,1,1.33,5.34,8.81,0.714271182374831,0.17789900235178377,0.10782981527338538
"2018-2019","2","FC Schalke 04","Hertha BSC",0,2,1.68,3.6,5.62,0.5663800053748992,0.26431066917495294,0.1693093254501478
"2018-2019","3","Borussia Dortmund","Eintracht Frankfurt",3,1,1.44,4.7,6.88,0.6597675633324629,0.20214155131888223,0.13809088534865502
"2018-2019","3","Fortuna Düsseldorf","1899 Hoffenheim",2,1,3.97,4.03,1.81,0.23932137103785875,0.23575827370230748,0.5249203552598338
"2018-2019","3","Bayern München","Bayer Leverkusen",3,1,1.17,7.84,14.64,0.813568548730075,0.12141265331813618,0.06501879795178876
"2018-2019","3","1. FSV Mainz 05","FC Augsburg",2,1,2.73,3.32,2.6,0.34815436241610737,0.2862835570469799,0.36556208053691275
"2018-2019","3","VfL Wolfsburg","Hertha BSC",2,2,2.14,3.26,3.58,0.4436149670827568,0.29120737102978517,0.26517766188745795
"2018-2019","3","RB Leipzig","Hannover 96",3,2,1.51,4.41,6.03,0.6278180311497356,0.21496717166351487,0.1572147971867497
"2018-2019","3","Bor. Mönchengladbach","FC Schalke 04",2,1,2.68,3.38,2.6,0.35414920368818104,0.28080469404861697,0.365046102263202
"2018-2019","3","Werder Bremen","1. FC Nürnberg",1,1,1.6,4.11,5.45,0.5942221220039527,0.23132734676552905,0.17445053123051824
"2018-2019","3","SC Freiburg","VfB Stuttgart",3,3,2.69,3.2,2.7,0.35249479825384517,0.2963159397821386,0.35118926196401606
"2018-2019","4","VfB Stuttgart","Fortuna Düsseldorf",0,0,1.72,3.78,4.83,0.5521402260891656,0.25123840975485845,0.1966213641559761
"2018-2019","4","1899 Hoffenheim","Borussia Dortmund",1,1,2.53,3.62,2.62,0.3752987543329271,0.26229443327687996,0.3624068123901929
"2018-2019","4","Hertha BSC","Bor. Mönchengladbach",4,2,2.78,3.32,2.55,0.341583079815692,0.28602438611073006,0.372392534073578
"2018-2019","4","FC Augsburg","Werder Bremen",2,3,2.77,3.4,2.52,0.34318123558062036,0.27959177134068186,0.3772269930786977
"2018-2019","4","VfL Wolfsburg","SC Freiburg",1,3,1.84,3.42,4.62,0.5164542067071974,0.2778584036085507,0.2056873896842518
"2018-2019","4","1. FC Nürnberg","Hannover 96",2,0,2.52,3.34,2.8,0.3767200541394089,0.2842318971351229,0.33904804872546807
"2018-2019","4","FC Schalke 04","Bayern München",0,2,8.25,5,1.37,0.11531501199444467,0.1902697697908337,0.6944152182147215
"2018-2019","4","Bayer Leverkusen","1. FSV Mainz 05",1,0,1.58,4.2,5.46,0.6003958654057621,0.2258632065097867,0.1737409280844513
"2018-2019","4","Eintracht Frankfurt","RB Leipzig",1,1,2.97,3.56,2.31,0.32051446945337614,0.267395498392283,0.4120900321543408
"2018-2019","5","Werder Bremen","Hertha BSC",3,1,2.02,3.5,3.67,0.47002385796460827,0.2712709123110025,0.2587052297243893
"2018-2019","5","SC Freiburg","FC Schalke 04",1,0,3.14,3.25,2.35,0.302817041016593,0.29256784885910836,0.40461511012429874
"2018-2019","5","Hannover 96","1899 Hoffenheim",1,3,3.12,3.68,2.17,0.3043571058328505,0.2580418940756776,0.43760100009147174
"2018-2019","5","Bayern München","FC Augsburg",1,1,1.11,9.59,22.49,0.8582948084647131,0.09934382037495637,0.042361371160330445
"2018-2019","5","Fortuna Düsseldorf","Bayer Leverkusen",1,2,3.85,3.69,1.91,0.24636201888289594,0.25704438284529796,0.496593598271806
"2018-2019","5","Borussia Dortmund","1. FC Nürnberg",7,0,1.38,4.92,7.96,0.687826673410892,0.19292699376159164,0.11924633282751643
"2018-2019","5","RB Leipzig","VfB Stuttgart",2,0,1.6,4.1,5.54,0.5955739682206722,0.23241910954953066,0.17200692222979705
"2018-2019","5","Bor. Mönchengladbach","Eintracht Frankfurt",3,1,1.94,3.61,3.82,0.488937896214775,0.2627533292677738,0.24830877451745115
"2018-2019","5","1. FSV Mainz 05","VfL Wolfsburg",0,0,2.52,3.27,2.86,0.3771078799022573,0.2906152468971524,0.3322768732005904
"2018-2019","6","Hertha BSC","Bayern München",2,0,10.57,6.22,1.25,0.08964303049938374,0.15233550359782735,0.758021465902789
"2018-2019","6","FC Schalke 04","1. FSV Mainz 05",1,0,1.62,3.86,5.68,0.5865445323117422,0.24616635812047213,0.16728910956778564
"2018-2019","6","1899 Hoffenheim","RB Leipzig",1,2,2.2,3.78,3,0.43190127970749537,0.2513711151736746,0.31672760511882997
"2018-2019","6","VfB Stuttgart","Werder Bremen",2,1,2.79,3.32,2.54,0.3402764887701657,0.2859552420689043,0.37376826916093
"2018-2019","6","VfL Wolfsburg","Bor. Mönchengladbach",2,2,2.34,3.44,2.99,0.40603510212460225,0.2761982962126655,0.3177666016627322
"2018-2019","6","1. FC Nürnberg","Fortuna Düsseldorf",3,0,2.18,3.38,3.35,0.43559382020742926,0.28094512664266147,0.28346105314990916
"2018-2019","6","Bayer Leverkusen","Borussia Dortmund",2,4,2.57,3.48,2.66,0.369730714234361,0.27304825735123783,0.35722102841440134
"2018-2019","6","Eintracht Frankfurt","Hannover 96",4,1,1.96,3.57,3.8,0.48430627748900446,0.2658936425429828,0.2498000799680128
"2018-2019","6","FC Augsburg","SC Freiburg",4,1,1.92,3.53,4.04,0.495256219700232,0.2693744877689647,0.2353692925308033
"2018-2019","7","Werder Bremen","VfL Wolfsburg",2,0,2.02,3.51,3.66,0.4700548847420417,0.2705159165751921,0.25942919868276615
"2018-2019","7","Fortuna Düsseldorf","FC Schalke 04",0,2,3.74,3.45,2.02,0.25409453527206965,0.2754532063529103,0.4704522583750201
"2018-2019","7","1. FSV Mainz 05","Hertha BSC",0,0,2.66,3.29,2.68,0.3570092398390114,0.2886457683804773,0.35434499178051126
"2018-2019","7","Borussia Dortmund","FC Augsburg",4,3,1.53,4.28,6.07,0.6212970912421589,0.22209919383189325,0.15660371492594777
"2018-2019","7","Hannover 96","VfB Stuttgart",3,1,2.45,3.38,2.88,0.38826710913630674,0.28143621816093245,0.330296672702761
"2018-2019","7","Bayern München","Bor. Mönchengladbach",0,3,1.16,8.2,14.83,0.8198850060139913,0.11598373255807683,0.06413126142793188
